epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1514.39,1.57071,1.98356,1.71684,0.46756,0.34724,0.3191,0.18057,1.8497,2.2294,2.04892,0.000848969,0.000848969,0.000848969
43,1549.56,1.54974,1.98777,1.69034,0.48509,0.33737,0.3262,0.19039,1.81239,2.26875,2.05392,0.000834822,0.000834822,0.000834822
44,1584.09,1.52643,1.96768,1.67059,0.51061,0.3271,0.33594,0.19172,1.83926,2.23004,2.04932,0.000820675,0.000820675,0.000820675
45,1627.86,1.54209,1.97194,1.67471,0.54522,0.33119,0.32521,0.19264,1.81207,2.2231,2.0394,0.000806528,0.000806528,0.000806528
46,1652.89,1.54941,1.9434,1.68819,0.50898,0.34686,0.34154,0.19431,1.85728,2.24571,2.05171,0.00079238,0.00079238,0.00079238
47,1686.74,1.51264,1.92344,1.68741,0.49226,0.34221,0.34235,0.19748,1.83594,2.22123,2.03937,0.000778233,0.000778233,0.000778233
48,1721.11,1.50691,1.89639,1.65942,0.55148,0.34486,0.34054,0.19543,1.77162,2.20454,1.98226,0.000764086,0.000764086,0.000764086
49,1754.47,1.52051,1.92833,1.67897,0.523,0.33863,0.35027,0.20789,1.79209,2.18941,2.0008,0.000749939,0.000749939,0.000749939
50,1788.03,1.53373,1.91052,1.67663,0.50336,0.33906,0.3334,0.19407,1.82438,2.1887,2.01685,0.000735792,0.000735792,0.000735792
51,1821.55,1.49595,1.86438,1.6521,0.43798,0.35948,0.32228,0.18509,1.85583,2.29424,2.07278,0.000721645,0.000721645,0.000721645
52,1855.91,1.51548,1.86196,1.65358,0.48194,0.35683,0.3371,0.19674,1.8087,2.16716,2.03412,0.000707498,0.000707498,0.000707498
53,1891.68,1.49839,1.82475,1.63308,0.51574,0.32361,0.32485,0.19024,1.88114,2.24286,2.09128,0.000693351,0.000693351,0.000693351
54,1932.46,1.46333,1.8019,1.63496,0.52493,0.32191,0.33036,0.18868,1.85701,2.22045,2.08616,0.000679204,0.000679204,0.000679204
